method,hl,band,dead,sharpe,gross,vol,turn,cost,dd
vol_scale,3,0.5,0.1,0.16193549488793613,0.35700608836185543,0.03227922031120049,127.75384727880939,0.00629498362731023,-0.19531669089920078
zscore,1,0.1,0.1,-0.9256787201802233,-0.3063016733416826,0.024404017499864945,282.1428393144083,0.015143275640347035,-0.22358429218933817
zscore,1,0.0,0.1,-0.9406886061795532,-0.24716199207846273,0.02412601530767971,294.69917773648797,0.016754987760569228,-0.22696200002025213
zscore,3,0.5,0.1,-0.9457058342247285,-0.6656164145476151,0.02065691832760469,120.72375742861581,0.005811502468487428,-0.2176728949129184
zscore,1,0.25,0.1,-0.9871688829282512,-0.3689554645149293,0.02145197610215624,263.64709544547554,0.013296517245802152,-0.2261977172048324
zscore,5,0.5,0.25,-1.0022803597845962,-0.815358854956588,0.035050290068360364,114.45710395997314,0.006608139898344161,-0.3331388392427391
zscore,3,0.1,0.1,-1.0034374710915435,-0.6920226473288048,0.024901935570398877,146.2751243920447,0.007794687288242867,-0.25334933847698804
zscore,3,0.0,0.1,-1.0112248360993554,-0.6469473867869674,0.02460512664025455,156.70733811134335,0.008996357015602793,-0.24921416793101736
zscore,5,0.0,0.1,-1.0126531483832208,-0.7415883189496169,0.024830416499562098,117.13660250217262,0.006741518727322275,-0.25527374526418933
zscore,5,0.1,0.1,-1.0293563843601374,-0.7917383881009395,0.024144462652958845,107.71067923440107,0.005747446168762192,-0.256053213951247
zscore,0,0.5,0.1,-1.0346350736141916,0.0944655769229181,0.018820827970571077,449.12541871132714,0.02123522099644505,-0.2123617540347933
zscore,5,0.5,0.1,-1.0400632487389987,-0.8098338708549382,0.018347909332019175,87.12147861142955,0.004224072106726827,-0.2195098769650482
zscore,5,0.25,0.25,-1.0434272656133863,-0.8333160177920753,0.035067547589430856,123.40128363065105,0.007422940911822283,-0.3254506596895863
zscore,3,0.25,0.1,-1.0734171847630618,-0.7726152754503152,0.022282574822975215,133.88531318899885,0.00674088538380685,-0.24713882009353083
zscore,0,0.0,0.1,-1.0734936713270677,0.13146002282691285,0.02431380924179755,525.0701083082232,0.029276660510898667,-0.24407316580584426
zscore,5,0.1,0.25,-1.0771173897855553,-0.8375793223485527,0.03366597368743877,130.87196636020064,0.008128421902740006,-0.3244683075118695
zscore,1,0.5,0.1,-1.0778897186046104,-0.41609233558621883,0.017088264155124155,239.76530154680754,0.011353024874318702,-0.20544666838400094
zscore,5,0.25,0.1,-1.0889449233568371,-0.8807731306819028,0.023620069196015954,97.76926578090527,0.004928018642143228,-0.25996075687502196
zscore,0,0.1,0.1,-1.096152771249907,0.07552078374719193,0.0231782554389662,510.73825822725627,0.02714504924005151,-0.23828084120412607
zscore,0,0.25,0.1,-1.102182527067077,-0.034305360131301615,0.022912239544625807,486.1689821615462,0.024473191471044407,-0.23872270917860083
zscore,5,0.0,0.25,-1.1364991217277038,-0.8719583740774038,0.03332109889680532,137.4752614770873,0.008879409015117676,-0.3272359416956587
zscore,3,0.1,0.25,-1.2389147361408335,-0.9181918397212373,0.033171830220303775,177.8877926202697,0.01068382899285122,-0.3412013138733705
zscore,3,0.0,0.25,-1.2505961898432592,-0.9023633217473291,0.033043108929812215,185.07712884043497,0.011550924645962142,-0.3408994141347419
zscore,3,0.25,0.25,-1.2531760884512826,-0.9731619133707041,0.03445766083062569,168.11346105925116,0.009698251864976666,-0.35398573062740757
zscore,1,0.5,0.25,-1.270745897075604,-0.710036657318626,0.030915246240137598,315.07708069348746,0.017421170550301814,-0.32874541509617916
zscore,1,0.25,0.25,-1.3325627146406658,-0.7089580229811367,0.030966468390780922,334.61284926851937,0.019407365898449266,-0.3257357455542499
zscore,1,0.0,0.25,-1.34419924795934,-0.6589951221749573,0.032312539418937525,357.96288179362534,0.022231836993414293,-0.34239426289637487
zscore,3,0.5,0.25,-1.3474193828115408,-1.0751173172543023,0.031122308315764437,155.2956817880666,0.008541200700235263,-0.34826338986459904
zscore,0,0.25,0.25,-1.3526346709634318,-0.33135248734755424,0.030457224671430576,563.2366046464792,0.03117095847981218,-0.3317954475755863
zscore,1,0.1,0.25,-1.368745583505928,-0.7135023260448166,0.031966617179707744,349.27329067553666,0.02103991264222309,-0.3395446536472354
